岗位名称,公司名称,最低工资,最高工资,工作地点,学位要求,工作日,截止日期,岗位描述
新媒体运营,紫泷商务,180,250,上海,大专,5,2021/6/30,"岗位需求：
1、熟练运用OFFICE等各种办公软件；
2、有良好的沟通协调能力，工作细致认真，责任心强，个性开朗积极；

	3、有较强的责任心与工作热情，学习能力强。和较强的团队合作精神，能承受一定工作压力；


	4、本岗位接受能力突出的应届生，在校生；








	工作内容：


	1、线上对接已合作客户，辅导客户有效的使用小程序平台，搭建小程序、公众号后台，解答客户软件使用问题；
2、关注客户续费，获取客户反馈信息，不断提升务服务质量； 
3、对已上线客户进行后台使用培训，不断优化培训内容；





	薪资福利：

1、同行业有竞争力的底薪加补贴；
2、提供系统专业培训及职业发展晋升通道；
3、周末双休：上班时间为周一到周五（9:30-18:30）；
4、享有国家法定节假日以及带薪年假、婚假、产假等各项法律法规规定的假期；
5、享受国家规定的五险一金（养老、失业、医疗、生育、工伤、住房公积金）."
新媒体运营,绎豪科技,100,150,成都,大专,5,2021/4/23,"岗位职责：
1、 负责微信公众号、短视频和社群的日常运用和维护；
2、 有基础的文案撰写能力，熟练使用各种微信编辑器；了解短视频拍摄剪辑工具的使用；
3、 提升公司不同账号的粉丝活跃度，负责日常与粉丝的互动；
4、 熟悉抖音、小红书、微博、微信公众号等不同社交平台的基础运作；
5、 参与线下推广活动，配合线上线下渠道内容的同步推送工作。
任职要求：
1、 大专及以上在校生、应届生；
2、 具有一定的文字功底，能够尝试各种文风的撰写；
3、 对互联网文化、时下热点有敏锐的洞察力及判断力；
4、 思维活跃、创意及想象力丰富，具备较强的表现欲及表达能力。
上班时间：朝九晚六双休提供转正"
新媒体实习生【文案 / 视频】,NACG北美电子竞技联赛,100,150,广州,本科,5,2022/3/10,"文案编辑实习生
工作职责:


 1、负责公司相关的比赛、媒体矩阵、游戏的内容策划&semi;


2、负责收集北美电竞圈各大资讯并对内容进行编辑整理，撰写相关文案及制作相关视频&semi; 


3、负责微博抖音等新媒体账号的运营和维护工作，提高粉丝黏度和活跃度&semi; 


4、进行新媒体相关调研工作，并定期对运营数据进行整理分析&semi;

 任职要求:
1. 本科以上学历，专业不限，传播类或中文类专业优先，实习生每周可实习 5 天以上(不含周末)&semi;
2. 电竞圈资深用户， 关注电竞游戏及赛事资讯，理解电竞行业，在校有相关经验可优先考虑&semi;
3. 熟悉运用各类办公软件，具备有较强的策划和编辑能力，工作认真负责，能 独立思考思维活跃，有良好的文案和内容策划功底&semi;
4. 有较强的的学习能力、沟通能力和执行能力，的服务意识及团队意识， 拒绝拖延症患者&semi;
5. 投递简历时欢迎附上作品，比如公众号原创文章等。

加分项: 有一定英语基础，能基本的英语沟通能力。有转正意向的优先录取"
新媒体运营,Paras,100,100,上海,不限,5,2021/4/30,"工作职责：


	1. 负责整理工作资料及图片，撰写相关新媒体稿件，配合部门定时发布；


	2. 积极与微博及微信平台粉丝互动，回复留言，维护渠道畅通；


	3、熟悉微信排版（及各类排版工具）


	4. 协助完成其它新媒体运营日常工作。


	任职要求：


	1. 本科在读学生，新闻学、广告、市场营销相关专业优先；


	2. 热爱时尚行业，文字功底好，有团队合作精神；


	3. 实习优秀者可提供转正机会。"
新媒体运营实习生,道可道也,80,100,全国,本科,5,2021/6/15,"可远程/线上实习，要求有保研经历！





岗位职责：
1.负责新媒体账号的内容策划、编辑，粉丝互动，平台运营工作；
2.负责相关新媒体账号的活动策划，带动粉丝增长，提高账号活性；
3.配合全职老师完成各个板块的工作内容。

任职资格：
1.有新媒体平台运营经验（例如公众号推送），有保研经历可优先录用；
2.有创新能力、认真负责；
3.实习时间3个月及以上优先



你将获得：
1. 线上实习薪酬80元/天；
2. 一份实习证明；
3. 职业能力提升+互联网公司实习经历

公司福利：
1. 专业的业务技能培训、前沿的学术资讯；
2. 拥有完善的企业管理模式，正处于成长期；
3. 组织丰富的团建活动：生日会、主题会、年会等；
4. 拥有丰富的高知人才团队储备。"
新媒体运营实习生（考研）,考虫网,120,150,北京,本科,4,2021/4/30,"1、负责百万级大号微博运营，能独立完成内容选题&干货产出，以及日常维护；
2、脑洞大，能参与设计好玩的UGC活动；
3、负责视频的剪辑&上传，以及B站、优酷等视频网站账号的日常维护


任职要求：

1、有剪辑经验，能熟练使用PR/PS等相关软件；
2、本科以上学历，对考研有了解或有考研经历的优先；
3、工作细心、负责，有良好的执行力以及乐于团队协作和配合；
4、保证每周坐班4天以上，实习时间在4个月以上。"
新媒体运营（短视频剪辑）,ThinkInfinite,150,250,上海,本科,5,2021/4/22,"职位描述：栏目&媒体&视频&原创
		

			-工作职责
		



					能独立负责公司自媒体的搭建（知乎，头条，公众号的运营等）增加关注度
				



					收集汇总新科技等相关信息热点，定位受众群体。
				



					负责结合视频的整体策划、内容的选题。创造出受欢迎的好内容，制造出对用户的粘性，活跃度。
				



					增加曝光度及用户互动。
				



					负责视频的剪辑以及拍摄。
				



			-相关要求
		

			任职资格：
		



					精通PR|AE|UI等视频编辑软件，对剪辑有独立的思维逻辑能力。有独特且独到的见解以及创造力。
				



					脑洞大，创新能力强，思维活跃
				



					执行能力强，抗压能力强，能适应快节奏工作。
				



					能吃苦耐劳，愿意与初创公司共同成长。
				



					欢迎应届生实习支持转正及一年以上有相关经验者。
				



					本科学历及以上，专业不限。"
新媒体运营实习生,法狗狗,120,200,深圳,本科,5,2021/4/29,"新媒体运营实习】
对新媒体感兴趣的童鞋 看过来看过来！
想要拥有从0到1的新媒体运营经验迈？
想要将自己的的文章让十几万人看到迈？
快来加入我们！
法狗狗（深圳）科技有限公司是一家将人工智能与法律相结合的公司，正在寻找对新媒体有好奇的你，希望你的参与可以赋予我们更多的能量～～
职位描述：
1）维护公众号、知乎、头条等平台的推广内容，包括内容编辑、日常维护、粉丝互动等；
2）负责对用户数据进行记录、分析、总结，不定期收集客户反馈，有针对性的提出优化方案；
3）协助组织品牌活动，增加粉丝活跃、拉新，提升品牌影响力
任职要求：
1）市场营销、文学、法学等相关专业优先；
2）有运营微博、微信、网站编辑等相关工作经验者优先；
3）文案功底良好优先考虑；
4）熟悉网络语言，有良好的网络热点敏感度，对微博、微信、知乎等产品有浓厚兴趣且是重度用户；
5）具有较强的沟通协作能力、执行力、有责任心
你将获得：
1）深入学习和了解运营行业的机会；
2）获得各新媒体平台的实操经验；
3）快速提升文案写作能力、有效提升逻辑能力、分析能力等
4）每周下午茶不断～

有兴趣的童鞋，简历砸过来吧 ～"
新媒体推广实习,美藤英邦教育,100,150,深圳,不限,3,2021/6/30,"岗位职责：


1.负责公司项目或品牌的宣传和推广，开发推广渠道；


2.负责公司网站、公众号等的建设和维护：定期修改或维护平台设计、版面、色彩、动画等修改、定期增加修改网络宣传信息；


3.网络平台等，微博每月定量、微信每月定量发送即时完成用户互动、网站每月定量即时更新内容；


4.负责公司活动宣传电子资料制作、修改等配合平面和媒体广告，及时更新、转载广告软文，扩大网站和品牌的影响力；


5.接受网络平台客户咨询；


6.能够基于策划并执行线上活动或策划线上线下联动的市场推广活动。






任职要求：


1、热爱移动互联网，微信、微博控优先，对微信等新型自媒体等产品有浓厚兴趣及深刻认识&semi;





	2、文字功底深厚，善于根据微信文案特点，撰写不同的微信内容。


	3、对社会化媒体、产品、用户关系三者具有深刻的理解和把控能力&semi;


	4、具有较强的抗压能力。


	5、具有较强的合作协同能力。


	6、有微信大号整体运营经验者优先。


	7、创意及策划能力强者优先。"
新媒体运营实习生,淘米网络,100,100,上海,本科,3,2021/6/30,"职位描述：
1. 负责动漫品牌公众号文案撰写及运营；
2. 负责短视频策划制作及运营。
职位要求：
1. 【时间】学业无压力，坐标大魔都，来漕河泾实习方便！每周一至周五期间至少到岗三天！
2. 【思维】跨次元思维！可宅可基可腐，必须既懂二次元黑话，又能跟老干部正常交流！
3. 【技能】有耐心花精力研究小学生在想啥，然后以老司机的角度写文配图剪视频碾压他们~
4. 【效率】看到热点，啪一下就能点进来！常逛B站、微信公众号、微博的小伙伴优先！
5. 【加分】我们还在做短视频和直播尝试，所以希望你面对镜头有内味，一拍脑袋骚话来！"
新媒体编辑,创客传媒,100,150,广州,不限,5,2021/10/7,"1.负责公司微信公众号、各大新媒体平台的内容运营；   

2.协助策划并操作汽车相关的各种原创选题；   

3.策划动画/视频的创意内容，撰写相关内容的脚本；   

4.撰写原创汽车内容稿件。ps.别的选题能写的很好也可以～

5.可接受出差，外出拍摄。有机会参加新车发布会、新车试驾；


职位要求： 好学、积极、专业基础扎实、经常刷各大汽车网站、论坛，对新车新技术有一定了解，具备一定的写作经验的同学即可。  ps：熟练掌握Ps以及Pr方面为加分项哦～

这里不受约束，喜欢想法多多的小伙伴，有些一群热爱汽车文化的小伙伴。志同道合的小伙伴也可转正，公司就是一个团队，希望能互相促进，一起成长~  

噢！最好有驾照的喔"
新媒体运营-实习生,芝士小课,100,150,广州,大专,5,2021/5/31,"新媒体运营岗位职责
  1、负责移动互联网自媒体平台(微信、微博、手机终端为主)的日常运营及推广工作&semi;
  2、负责能够独立运营微信公众号，为粉丝策划与提供优质、有高度传播性的内容&semi;
  3、负责策划并执行微信营销线日常活动及跟踪维护，根据项目发送各种微信内容&semi;
  4、负责增加粉丝数，提高关注度和粉丝的活跃度，并及时与粉丝互动&semi;
  5、挖掘和分析网友使用习惯、情感及体验感受，及时掌握新闻热点，有效完成专题策划活动&semi;
  6、紧跟微信发展趋势，广泛关注标杆性公众号，积极探索微信运营模式&semi;
  7、充分了解用户需求，收集用户反馈，分析用户行为及需求。"
新媒体运营实习生,看好网络,150,250,郑州,大专,3,2021/5/15,"岗位职责：
前期：1. 负责公司文章（人物传记、猎奇故事、时事热点、历史故事）原创稿件选题、策划、撰写；
后期：1.协助部门及新媒体平台（以今日头条，大鱼，百家等为主）文章内容质量的把控及兼职人员文章的审核，存稿；
2.负责新媒体平台的日常维护，运营，
3. 负责新媒体平台后台的日常数据的统计
职位要求
1、对自媒体发展趋势有自己的见解&semi;
2、可接受优秀的应届生和实习生&semi;
3、有网感，这点很重要！脑洞大、思维敏捷、学习能力强。
【福利待遇】
1、公司与员工签订正式劳动合同；
2、缴纳社保
3、礼品礼金：结婚、生子礼金，生日礼物，春节利是，传统节日福利；
4、工作满一年享有带薪年假5天（春节假期会比国家法定假期时间长）&semi;并依法享有病假、婚假、丧假、产假、工伤假等福利；
【培训机会】
公司有系统的培训机制：
1、安排系统的入职培训；
2、为新人安排资深主管级别以上干部“一对一”导师制，手把手“传”、“帮”、“带；
3、不定期安排职业技能培训、综合素质培训等相关培训 。
【员工职业生涯规划】

我们为员工提供横向+纵向的双通道职业发展规划：
1、编辑——>经理——>总监——>企业合作伙伴（管理通道）
2、实习编辑-初级编辑-中级编辑-高级编辑（技能通道）"
新媒体运营实习生,金牛社区基金会,80,100,成都,本科,5,2021/5/14,"一、职位描述：


	1.负责撰写新闻稿；


	2.负责运营机构微信公众号；


	3.负责照片、视频剪辑；


	4.其他相关事务


	二、职位要求：


	1.具有新媒体运营经验；


	2.会简单照片后期处理；


	3.会海报设计。


	4.新闻学、广告学优先。"
新媒体运营实习生,分秒帧,120,150,北京,本科,4,2021/5/13,"岗位职责：


	采编、图文编辑创作；


	岗位要求：


	1. 有一定采编能力；
2. 熟悉各类新媒体平台的编辑创作运营（实践经历或执行能力强)；


	3. 性格开朗，沟通能力好；
4. 4天/周，本科或研究生非应届；
5. 有知乎方向运营经验者优先。"
新媒体运营实习生,青木数字,80,100,广州,本科,3,2021/5/12,"合作的是国际知名潮流运动品牌客户
【工作内容】
1、协助团队进行品牌自媒体账号（微信、微博、小红书等）的日常活动策划、稿件撰写/排版、数据监测/报告；
2、协助团队进行品牌传播活动的执行，如设计、视频、H5/小程序、明星、KOL筛选和跟进等。
招聘要求

【工作要求】
1、统招本科学历，英文读写流利，具备较好的文案功底、审美能力，最好是运营过个人或校内自媒体账号；
2、能够基础运用PS、PR等软件；
3、如在广告、媒介公司实习过更佳。




	每周实习3天（含）以上。"
新媒体开拓助理,小幂科技,100,200,北京,本科,4,2021/5/28,"岗位职责：


	1、根据公司的新媒体市场策略，制定推广方案，开拓相关合作KOL渠道或MCN机构。


	2、根据营销方案，开发相关新媒体财经资源，挖掘意向并促成合作。


	3、负责新媒体财经相关信息的收集，定期提交信息报告。


	4、组织和策划线上营销活动，完成资源开发；


	5、管理维护新媒体关系以及长期战略合作计划。








	岗位要求：


	1、统招全日制本科及以上学历，有新媒体（特别是财经方向）主播或运维经验优先。


	2、气质亲切、具备较强的沟通能力，有一定的抖音、快手、知乎或小红书应用基础。


3、诚实守信、具备较强的团队合作意识，积极乐观，用于挑战。


	4、具备较强的学习意愿以及自主学习能力，抗压能力强。


	5、每周至少到岗4天。






	你的收获：


	1、完整的SAAS体系新媒体方向合作流程认知及线索寻找和转化经验。


2、金融科技和新媒体的实习经验收获。


3、正确的投资和资产配置理念，有可能成为未来的财经KOL主播。


4、具有竞争力的实习收入和新媒体行业资源。"
新媒体运营实习生,新东方在线,120,150,北京,本科,5,2021/5/14,"岗位职责：
1、负责新媒体文字内容的整理；
2、负责新媒体内容的编排、剪辑、排版；
3、协助经理进行进行其他工作。





	任职要求：
1、本科及以上学历，2021年以后毕业；
2、实习时间3个月以上，每周4天以上；
3、对语言文字有敏感度，语言逻辑强；
4、打字速度快，有强烈的责任心，性格开朗；
5、做事细心、耐心。"
新媒体运营实习生,半懒,120,150,广州,本科,3,2021/5/15,"一、岗位职责：
1、日常维护知乎账号；
2、推进知乎内容的呈现、确保知乎的调性、确保用户的活跃度；
3、对知乎的内容进行数据跟踪、数据分析、根据专题的发展情况、数据指标表现及时作出调整；

二、任职要求：
1、新媒体公众号、知乎等垂直问答平台的用户；
2、熟悉新媒体公众号的内容运营，了解知乎的运营策略；
3、一周能出勤3天以上，实习至少3个月；"
新媒体运营经理,中新科服,80,100,北京,本科,5,2021/4/28,"岗位职责：
1、分析投融资行业媒体内容结构及话题热点，协助总经理负责新媒体平台（微信公众号、视频号、抖音）的日常内容的撰写和运营；
2、大学有传播学、媒体公关等相关课程，有相关实习经验。
3、负责社群关系维护及线上线下活动方案的策划执行、运营以及汇报和总结；

	4、完成上级指定的其他工作。





	任职要求：
1、本科以上学历；
2、具有较强的新闻、热点敏敢性，有较强的文案功底。
3、有丰富的媒体活动推广实战经验，了解知识性媒体特点，熟悉口碑营销的执行操作流程；
4、网感好，创意优，执行力强，有良好的策略思考能力并能独立撰写方案，一定程度掌握图片处理软件；
5、知识面广，思维活跃，工作主动，有责任感，能承受较大的工作压力；
6、对新媒体运营成功案例者优先；
7、良好团队合作精神；较强的执行力，独立思考能力 ，观察力和应变能力&semi;
8、有创业、投资行业背景、对行业有一定见解者优先 。"
新媒体运营专员,焦点领动,50,100,南京,本科,5,2021/4/27,"岗位职责：


1、协助运营经理公司旗下全媒体平台（微信、微博、平面媒体）的内容和新闻稿件的撰写、策划、更新与维护

2、协助运营经理公司旗下全媒体平台的客户服务、活动策划、营销支持，负责产品文案编撰，善于进行话题营销、事件营销的策划
3、协助运营经理线上活动的执行，研究分析用户需求和运营数据

4、协助运营经理广告投放相关事宜






岗位要求：
1、 本科以上学历实习生，性别不限




2、热爱市场品牌推广工作，文案功底强，熟悉新媒体运营工作流程，了解各大社媒的玩法。


3、基础操作PS做图软件、视频编辑软件"
新媒体运营实习生,萌爪医生,150,200,北京,大专,5,2021/5/8,"职位描述：


1.	配合主编共同运营微信公众号及其他自媒体平台（含视频）


2.	记录数据并整理成表，参与每周内容会议，复盘梳理并推动项目进展 


3.	协助主编维护/管理编辑团队，提升团队的活跃度和产出效率 


4.	负责文章错别字检查，留言私信回复等，为读者提供高质量的内容和服务 


5.	按照流程配合商务及其他部门进行产品内部审核 


6.	定期协助活动的运营维护，有独立策划并做出爆款活动或选题的机会哦！





职位要求： 


1.	大专及以上学历 


2.	喜欢宠物，喜欢猫咪，自己养宠物优先 


3.	对小猫咪事件敏感，信仰科学养猫 


4.	具备基本的公众号运营经验，有良好的沟通能力和文字表达能力 


5.	对内容有热情，有想法，细心细心细心！ 


6.	逻辑清晰，思路清奇，脑洞够大，角度刁钻，互联网冲浪王者 


7.	好沟通好沟通好沟通，玻璃心出门右拐不送~"
新媒体运营实习生,魔笛教育,100,120,北京,不限,5,2021/9/1,"岗位职责：


	1.负责公司微信公众号、微博等官方账号的运营；


	2.负责公司重要活动的影视频素材的采集、编辑、整理、归档；


	3.负责公司宣传册、宣传片的策划、设计、制作；


	4.负责公司线上课程及线下活动宣传所需物料的制作及协助运营；


	5.领导交办的其他任务。


	任职资格：


	1.本科及以上学历，文字功底扎实


	2.具有较高的摄影水平，图片和视频处理能力，图文编辑能力；


	3.有较强的美术功底和设计审美功力，熟练运用Photoshop、AI、AE设计软件；


	4.富有团队精神，有较强的理解、沟通、协调及高效的执行能力"
新媒体运营实习生,万粒,200,200,上海,不限,5,2021/5/15,"一、招聘对象： 


	1.有责任心，细心严谨，擅长与人沟通交往 


	2.互联网重度用户，小红书/微博/b站等平台深度用户优先 


	3.逻辑思维强，熟练掌握excel为佳 


	4.文字功底佳、擅长PS等做图软件为加分项






	二、工作内容： 


	1.根据母婴小程序产品，产出符合自有新媒体平台调性的优质内容 


	2.挖掘平台的优质母婴达人，负责跟进和维系与达人的内容合作 


3.管理媒介投放数据，协助优化广告投放效率






	三、主要工作： 


	1.运用运营工具，产出合适的文案及内容，对母婴小程序的品宣和推广负责 


	2.调查、联系、筛选母婴领域的腰部尾部达人及koc，挖掘适合推广母婴小程序产品的达人，跟进合作沟通等工作，结合达人调性安排合适的推广物料 


	3.分析内容的广告投放数据，从执行进度、效果等方面协助评估效果





	工作时间：3个月及以上，每周4-5天出勤


	工作地点：上海静安区南京西路819号中创大厦3楼WeWork


	薪资待遇：4400元（税前）/5天每周出勤，3500元（税前）/4天每周出勤"
新媒体运营实习生,芬达奇传媒公司,80,100,重庆,大专,5,2021/6/30,"岗位职责：


1、搜集相关媒介资料并进行分析，及时把握媒体动向； 



	2、通过抖音、微信公众号等新媒体发布公司有关讯息，对客户群体进行维护和开发；




3、积极了解客户的各项需求；


   4、划或召集举行相关重要会议及公关活动。


 


   



   任职要求：


   1、为人诚实可靠、品行端正，做事踏实仔细，有责任心；


   2、对工作热情，活泼开朗，上进好学；


   3、良好的团队协作精神，较强的执行力，具有亲和力，良好的独立工作能力。


   福利待遇：


   1、工作时间：8:30-17:00；


   2、周末双休，国家法定节假日休息（特殊情况会安排调休）；


   3、节日福利，定期安排体检，定期团建；


   4、公司员工多为90后，团队氛围好，有活力；


   5、晋升机制公开透明，无隐形条款，空间大。"
新媒体运营实习生,上汽大通,100,120,上海,本科,3,2021/5/14,"工作职责：
 负责公司微信公众号内容的编辑及推送
 熟悉新媒体运用及相关工作流程
 起草、撰写公司宣传报道
 支持策划、组织日常公司文化宣传、青年赋能活动
 协助支持党员教育工作
任职资格：
 良好的公文写作、计划与组织、沟通协调以及问题分析与解决能力。
 有一定审美，有拍摄，录像，剪辑，图片处理ps等能力有新媒运营经历
 在大学期间有团委，学生会等社团经历优先
 中共党员优先"
新媒体策划实习生,正略集团,120,180,北京,硕士,3,2021/5/31,"岗位职责：


	1.负责公司新媒体平台文章的策划、编发、审阅、发布；

2.负责公司微信公众号、微博、论坛的日常运营和推广；
3.负责公司各类宣传文案的撰写及文字创意工作；
4.协助公司品牌运营，参与推广方案的策划，负责具体推广活动的实施执行；
5.协助进行市场数据的分析和统筹，编辑新媒体运营效果评估报告；
6.协助维护和开发市场合作伙伴资源；

	7.完成上级领导安排的其他工作。


	任职要求：


	1.统招硕士及以上学历，专业不限；
2.2021年应届生或2021年以后毕业均可，每周至少实习3个工作日，至少实习2-3个月；
3.熟练操作微博、微信、短视频等新媒体平台编辑软件；
4.熟悉制图、视频剪辑软件；
5.具备较强的新闻敏感性和文字能力；
6.具备较强的工作责任心和抗压能力；
7.具有政府机关、大型国企央企、新闻媒体实习经验者优先，具有相关爆款新媒体作品者优先；
8.实习表现优秀者可留用。
面试要求：需带作品（原创文章、视频或图文设计等）"
新媒体运营实习生,霍兰德教,150,150,上海,本科,5,2021/4/28,"实习生职责：
1.协助完善、整合新媒体运营的推广文章。
2.根据各平台内容类型，匹配内容标签、关键词。
3.负责将文章修改错别字、完善语句、添加配图，提高语言总体质量，并正确、按时上传到对应网站。
4.负责统计所有网站发布的文章链接并作相对应的内容和数据统计。
5.协助收集整理行业、竞争对手的新媒体运营数据信息。
6.完成上级交办的其他工作。
（本司为英企，并给到该岗位转正的机会，一周内不能到岗者勿扰）

岗位要求：
1.汉语言文学、英语、传媒等专业优先，有艺术鉴赏能力、文学素养者优先。
2.对留学教育产品感兴趣，有主动学习的态度。对教育产品用户有洞察力。
3.具有良好的英语阅读能力和较强的文字功底，对互联网语言风格和文字表达比较熟悉，有广告、文案经验者优先。
4.做事务必细心耐心，沟通能力优秀，责任心强。
5.有新媒体文章撰写经验者优先。
6.每周到岗不少于4天，保证至少3个月实习期。"
新媒体推广实习生,美藤英邦教育,100,150,上海,本科,3,2021/6/30,"岗位职责：


1.负责公司项目或品牌的宣传和推广，开发推广渠道；


2.负责公司网站、公众号等的建设和维护：定期修改或维护平台设计、版面、色彩、动画等修改、定期增加修改网络宣传信息；


3.网络平台等，微博每月定量、微信每月定量发送即时完成用户互动、网站每月定量即时更新内容；


4.负责公司活动宣传电子资料制作、修改等配合平面和媒体广告，及时更新、转载广告软文，扩大网站和品牌的影响力；


5.接受网络平台客户咨询；


6.能够基于策划并执行线上活动或策划线上线下联动的市场推广活动。






任职要求：


1、热爱移动互联网，微信、微博控优先，对微信等新型自媒体等产品有浓厚兴趣及深刻认识&semi;


 


	2、文字功底深厚，善于根据微信文案特点，撰写不同的微信内容。


	3、对社会化媒体、产品、用户关系三者具有深刻的理解和把控能力&semi;


	4、具有较强的抗压能力。


	5、具有较强的合作协同能力。


	6、有微信大号整体运营经验者优先。


	7、创意及策划能力强者优先。"
新媒体运营实习,金钱课,120,150,北京,本科,3,2021/5/20,"职位描述：
1. 负责公司公众号、头条号等内容的编辑、更新、管理及互动；
2. 微信活动及推广内容的策划及执行；
3. 官方自媒体平台后台数据的汇总和分析工作；
4. 通过有效的运营手段增加有效粉丝数，提升粉丝活跃度，逐渐提升自媒体的关注度和影响力；
5. 挖掘和分析网友使用习惯、情感及体验感受
任职资格
1、本科以上在校生，新闻、营销相关专业，互联网新媒体专业优先考虑；每周至少到岗3天；
2、有较强的逻辑思维能力、分析能力等；善于从用户角度挖掘创作点；
3、熟悉新媒体平台，并对内容有很高的敏感度&semi;
4、 强有力的沟通和团队协作能力"
新媒体运营实习生,恒衡教育,120,150,上海,不限,3,2021/5/12,"岗位职责


	1.       运营和维护企业微信公众号；


	2.       撰写适用于微信公众号等不同社交媒体的自媒体文案，熟悉图文制作。有独到的观点和创意，会进行视频制作更佳；


	3.       协助抖音内容的策划和拍摄；


	4.       配合团队完成其他线下活动的策划和执行；


	5.       完成上级领导安排的其他事宜。





	职位要求


	1.       每周工作3-5天；


	2.       本科或研究生在读；


	3.       良好的文案功底和话题策划能力；


	4.       会使用秀米及其他制图软件；


	5.       对互联网领域的热点、爆点有好奇心和敏感度；


	6.       结果导向，责任心强。有良好的沟通和团队合作意识。"
新媒体运营实习生,TigerGraph,150,200,上海,本科,3,2021/5/13,"【职位描述】
1. 协助运营社交媒体官方账号，完成编辑排版,管理网站等工作
2. 协助完成基础数据报告
3. 协助整理和分析竞品动态

【任职要求】
1. 英语流利，文字编辑能力强
2. 掌握平面设计技能者优先
3. 懂得如何运营微信后台，对社交营销有很好的判断力
4. 熟练使用office系列，会PS加分
5.认真仔细，有耐心，愿意学习
6.每周到岗三日或以上 有事可协商线上

	7.能尽快到岗者优先




【福利】
⭐️不打卡 不加班！
⭐️网红开放式办公区域 环境好
⭐️团队氛围友好 同事有趣且专业
⭐办公室零食饮料每天都有"
新媒体运营实习生,企投家,180,250,北京,本科,5,2021/5/15,"岗位职责：
1.投资人说自媒体矩阵（公众号、头条号、微博等）日常维护与运营，包括但不限于文章编辑排版、图片编辑、文字校对、社群运营推广等；
2.根据「投资人说」栏目与读者偏好，收集整理外部优质稿件开白；通过资料收集组稿形式输出「投资人说」原创内容；
3.负责对新媒体矩阵整体运营数据进行监测分析，制定运营增长目标并定期进行目标复盘，对增长目标负责。
任职要求：
1.认可「投资人说」的使命与价值观；
2.善于总结方法论，目标导向，效率第一；
3.做事踏实、靠谱，团队协作意识和执行能力强；
4.对文字充满敬畏，对自己编辑过的每一篇文章负责；
5.一年以上创投类或商业类新媒体运营经验优先，具有粉丝量10w以上媒体公众号运营增长经验优先；
6.如实习，实习期不少于3个月，每周不少于5天；
7.「投资人说」公众号读者优先，90后优先。"
新媒体运营实习生,真才阅读,薪资面议,薪资面议,北京,不限,2,2021/4/25,"这是一个无薪实习。重在积累新媒体运营经历。可以提供实习证明。实习一般为2个月，每周4个半天或2个全天。


	线下实习地址在海淀或朝阳。





	职责：





	1. 翻译和编辑英文资料


	2. 参与英语课程研发，制作授课课件


	3. 了解微博知乎等新媒体运营方法


	4. 写作宣传文案、研究市场动态


	5.  参与新产品研发，探索知识付费市场新机会





	要求


	1.  英文水平优秀


	2.  善于写作


	3.  对教育和知识付费行业有兴趣


	4.  会视频编辑优先


	5.  愿意做录音和录播优先





	这是无薪实习，可以提供实习证明。"
新媒体运营实习生,法大大,100,120,深圳,本科,4,2022/4/1,"岗位职责：
1、协助公司新媒体矩阵内容的同步及渠道的维护；
2、协助新媒体工作版块的数据统计；
3、协助市场活动运营的数据统筹；
4、完成上级交代的其它相关任务。
任职资格：
1、全日制本科大三或大四在校生；
2、需有基础公众号排版及新媒体运作经验；3、细心（必要），思维活跃，好学；
4、实习期不少于3天/周；
5、请提前了解法大大。"
新媒体运营实习生,趣头条,120,150,北京,本科,5,2021/5/2,"岗位职责1.配合项目负责人和各执行团队沟通抖快等短视频平台项目的前期要求及实施事项；
2.在主体框架下进行各个视频的构思和创意策划；
3.支持拍摄制作团队，根据视频项目承担创意、拍摄、表演、制作等；
4.公众号、微博、知乎等图文平台内容撰写及发布、运营； 任职要求1.长期混迹抖音、快手、微博、B站等各大短视频平台，了解平台调性及运营规则；
2. 有视频拍摄、剪辑经验，对于音乐和视频节奏有一定的把握能力，软件运用熟练（Final cut pro、PR、AE、PS等视频、图像编辑软件；Word、PPT、Excel等办公软件）；
3. 有运营短视频账号经验者优先，具备一定的文案能力；
4. 每周保证5个工作日，至少连续实习3个月，全职实习优先；
5. 影视编导相关专业优先，大二、大三、大四、研一、研二学生优先；
6.有责任心，抗压能力强，沟通能力好
欢迎各位精神小妹儿精神小伙儿投递~"
新媒体策划实习生,连连支付,150,200,杭州,本科,4,2021/5/8,岗位职责：1.  负责项目品牌创意策划，不仅限于形式策划、视频策划、拍摄及后期制作；2.  负责短视频运营，根据账号定位，编写脚本并进行拍摄剪辑；3.  负责新媒体公众号内容编辑运营、垂直媒体账号文章宣发；4.  参与创意内容策划，不仅限于海报、脚本、软文等任职要求： 1.  本科及以上学历，编导、影视、动画、营销、广告等相关专业优先，简历附带视频作品优先；2.  有公众号、视频号等运营经验优先，了解视频制作流程，熟练使用PS、PR、AE、剪映等图片视频编辑软件，能独立完成后期制作；3.  具有丰富的创意思维，喜欢打破常规，对创意创作有自己的见解；4.  能主动承担团队工作安排，认真负责；5.  实习四个月以上，一周至少４天在岗；
