岗位名称,公司名称,最低工资,最高工资,工作地点,学位要求,工作日,截止日期,岗位描述
新媒体运营实习生,WeProtect玮珀德,120,150,上海,本科,3,2021/4/20,"工作职责
 1. 负责新媒体渠道的营销策划、内容创意等各类文案和干货的软文，生产有创意性的内容； 
 2. 结合目标客户群体行为习惯与热点事件，独立策划并实施新媒体营销方案内容； 
 3. 配合团队搭建新媒体矩阵，多渠道提高品牌的曝光度，增加品牌粉丝数量；持续跟踪推广效果，分析数据并反馈，总结经验，提高品牌的关注度和粉丝的活跃度，增强用户黏性； 
 4. 利用多种方式进行新媒体营销策划，熟悉口碑营销、活动营销、病毒式营销及其他特殊的网络营销等内容传播工作； 
 5. 搜集与公司业务相关热点新闻，为团队创作提供素材，结合用户需求创造话题，激发阅读兴趣

任职资格
 1. 有美国交流或者学习经验优先。
 2. 大学大专及以上学历，编导、新闻、传播、广告、营销等相关专业优先；有设计相关经验优先。
 3. 有新媒体编辑经验，能独立完成编辑、排版者优先。
 4. 对新媒体内容运营有清晰的认识，熟悉各自媒体渠道传播特点；
 5. 善于沟通，积极主动，有责任心，喜欢广告行业，爱钻研专业提升学习。
 6. 能适应工作压力，快速学习，踏实肯干，有很强的责任心和团队合作精神。"
新媒体平面设计实习生,完美世界,100,150,北京,本科,5,2021/4/21,1.协助运营【完美世界文创】微博账号运营，策划微博活动、创作文创文案以及插画内容；2.负责有关【完美世界文创】新媒体矩阵，如今日头条、网易号、企鹅号等相关内容上传；3.协助发现全网热点，找寻日常文创内容选题。任职要求：1.本科以上学历，有新媒体运营相关实习经验优先；2.良好的审美品位、网感好，设计/传播相关专业优先；3.混迹微博、微信、豆瓣等社交网站重度发烧友，熟悉当下年轻人流行喜好；4.有一定的文案功底，但设计能力过硬，需要会一些插画绘制；6.时间充裕，一周5天都可以准时上班，且至少实习3个月。
网易新媒体文案实习生,网易,120,150,北京,不限,5,2021/4/30,"【岗位职责】


1.负责成人教育类产品在微信生态商业投放的整体闭环工作


 


2.负责外投文案的创作更新，可以快速响应社会、娱乐等网络热点话题并对文案进行优化


 


3.能够判断外投账号调性与相应文案的适配，并给出指导性意见。


 


4.负责商业投放数据整理与分析，输出相关数据报告，梳理投放模型，为投放效果负责


 


5.配合mentor安排的其他工作


 


 


 


	【任职要求】


1.有在线教育行业经验优先，或对在线教育行业感兴趣


 


2.广告学、新闻学、传媒传播、中文、汉语言等相关专业，22届及其之后本科/研究生同学优先，支持有研究生offer处于gap year的同学


 


3.具备新媒体运营的相关经验，熟悉相关软件应用，有基本的图文美化能力


 


4.有新媒体运营相关经验，具备一定文案撰写能力，擅长根据热点对投放文案素材进行修改


 


5.希望你具有良好的逻辑能力、沟通能力、执行能力和快速学"
文案策划新媒体品牌实习生,介子网络,100,150,杭州,不限,5,2021/5/31,"岗位职责：


1、根据公司的产品进行文字的撰写；


2、负责对外发布文字的润色；





	任职资格：


1、新闻学、汉语言学、广告等相关专业应届生；


2、热爱教育文字类工作；


3、沟通、表达能力强；"
新媒体运营（社群及公众号）,EFC Link,150,200,上海,本科,5,2021/7/31,"岗位职责：
1、负责公司公众号的发布、撰写、维护等，包含发布素材的查找、筛选、排版等；
2、完成引流目标，通过社群等渠道进行引流，达到将客户进行沉淀的目标；
3、进行客户维护，通过与客户沟通，进而完成裂变、促进成交等目标；
4、提供其他新媒体营销素材，包含图片设计、文案等；
5、进行新媒体领域的开发与研究；
6、公司安排的其他工作。

岗位要求：
1、实习生、应届毕业生、1年左右的工作经验均可；
2、有社群运营、公众号独立撰写等新媒体相关经验，可以撰写推广文案，制作宣传图片、视频者优先；
3、性格活泼，擅长与他人交流，具备亲和力和执行力，能够独立解决问题；
4、工作踏实认真，积极主动，具备高度责任心，团队协作意识。"
新媒体运营实习（小红书渠道）,半撇私塾,50,100,厦门,本科,4,2021/4/30,"岗位职责

1、以获取潜在销售线索为目标，独立小红书等新媒体账号。

2、挖掘用户阅读需求及习惯，提供优质、高传播性的内容。

3、根据公司产品定位、内容方向、日常选题、推文素材及呈现方式编撰发布文章。

4、负责新媒体渠道的内容发布、粉丝互动、话题制造、活动执行等。

5、跟踪新媒体推广效果，分析数据并反馈，分享新媒体推广经验。

岗位要求

1、大三、大四或者在读研究生，211/985院校优先。

2、全日制本科及以上学历（中文系、文学、新闻传播、市场营销等相关专业）。

3、熟悉小红书渠道的流量规则。

4、能够输出优质的干货文章。

5、能使用美图秀秀/黄油相机进行图文排版。

6、热爱教育行业，熟悉在线职业培训加分。

7、需提供相关作品集。

公司可提供实习证明。"
新媒体运营助理,AOEO,120,150,广州,本科,5,2021/4/20,"该岗位为年后储备人才，有兴趣小伙伴可投递哦！


【岗位职责】：

1、负责新媒体（抖音、小红书、B站、双微）的达人推广工作；
2、媒介资源开发：根据产品用户画像分析，开发媒介资源，如小红书达人、微博红人、微信公众号，抖音KOL等，与目标媒介平台达成产品推广合作；
3、文案内容的输出和把控：根据不同的媒体平台（抖音、小红书等）输出内容写brief，优化文案通稿或脚本文案；
4、推广效果监控和优化：分析推广数据结果、及时优化媒介效率。

【任职要求】：
1、本科及以上学历，有同行经验优先，也可接收无经验但有兴趣的，中文、新闻、传播、市场营销等相关专业，有广告行业、美妆行业等新媒体运营/投放经验优先考虑；
2、有微信/微博/淘宝/抖音等新媒体运营或有微博大V资源者优先考虑；

3、思维活跃，有创意，学习能力强，有好奇心。


【福利待遇】：
1、享受带薪法定节假日、婚假、产假等带薪假期；
2、节日福利：享受传统重大节日或公司设立节日礼品福利。
3、工作日贴心餐补；
4、不同类型多样茶歇茶点，每月惊喜生日会；
5、各类优秀员工激励，宽阔的升职空间以及多岗位轮岗，综合提升个人实力；
6、地铁上盖高端写字楼，交通方便。"
新媒体运营（实习生）,EleGo Education,120,200,深圳,本科,5,2022/3/29,"【岗位职责】


1.有用户运营意识，建立留学生社群，活跃群内信息，完成基本的用户/社群运营工作


2.协助策划线上/线下活动，引进流量，活跃粉丝并完成品牌推广


3.接触海内外商务渠道，促进合作



4.完成上级发布的其他任务

【任职要求】


1.周一至周五连续5天上班，周末双休；实习时长2个月及以上


2.善于沟通，能准确把握用户心理


3.工作认真负责，有较强的团队意识


4.希望你有社群/用户运营的经验，了解市场、互联网的推广方式；如果不了解也没关系，希望你具备快速学习的能力，我们还有前辈手把手教你"
品牌市场运营实习生,荔枝与芒果,100,150,广州,本科,5,2021/4/29,"岗位职责：


1.参与公司各社交媒体平台（Instagram/ tiktok/ Pinterest/ Facebook等）营销策略制定；


2.负责社交媒体内容的创意策划及内容产出：宣传图片、宣传文案、短视频内容等；


3.负责社交媒体的日常运营；


4.负责各媒体平台数据的采集并进行数据分析；


5.参与竞品调研，分析市场趋势。





任职要求：


1.本科及以上学历，有海外留学背景；


2.有国际化的视野，对欧美市场及审美有深刻的理解；


3.网感强，熟悉各大欧美社交媒体（Instagram, Tiktok, Youtube, Facebook等）；


4.有相关市场工作经验加分；


5.有较强的学习能力、领导力与执行力，有责任心，能适应创业团队高速的工作节奏。"
新媒体运营实习生,寻缘树,120,180,上海,本科,5,2021/6/30,"【职位描述】
1、负责多个视频号、公众号等新媒体的日常更新与运营，包括文案、视频等内容的撰写、剪辑等。
2、撰写公司线上产品的推广策划及文案撰写。
3、分析各维度数据，并给予数据进行持续的优化。

【岗位要求
1，擅于沟通交流，有脑洞，创造力，追踪实时热点，知晓潮流事物，了解新型社交平台；
2、对自媒体运营有丰富的经验，能产生粉丝增量、留存及良好互动；
3，会自我创作更好，广告，媒体专业毕业优先；运营过短视频内容加分；
4、大专以上学历，大三、大四学生。"
